a,b,c,d,family
88,222,291,331,sporadic
185,218,271,332,"B:Ramanujan(m,n)"
42,181,315,334,sporadic
183,192,290,335,sporadic
40,203,309,336,sporadic
3,214,309,340,sporadic
192,249,263,344,sporadic
5,232,307,346,sporadic
48,268,285,349,sporadic
36,147,341,350,sporadic
174,247,284,351,sporadic
127,204,321,352,sporadic
158,241,295,352,sporadic
27,232,317,354,sporadic
100,213,323,354,sporadic
12,238,315,355,sporadic
106,185,335,356,sporadic
174,239,297,356,sporadic
227,230,277,356,"B:Ramanujan(m,n)"
118,225,324,361,sporadic
20,151,353,362,sporadic
95,229,327,363,sporadic
40,273,303,364,sporadic
107,209,337,365,sporadic
116,271,305,368,sporadic
134,151,353,368,sporadic
121,122,360,369,sporadic
186,236,313,369,sporadic
10,261,323,372,sporadic
99,200,349,372,sporadic
40,141,366,373,sporadic
72,257,327,374,sporadic
3,245,340,378,sporadic
119,268,321,378,"B:Ramanujan(m,n)"
123,276,316,379,sporadic
242,262,285,381,sporadic
20,109,379,382,sporadic
160,191,356,383,sporadic
99,236,349,384,sporadic
173,232,339,384,sporadic
185,207,346,384,sporadic
168,268,321,385,sporadic
71,81,384,386,sporadic
87,297,316,388,sporadic
138,145,375,388,sporadic
141,272,330,389,sporadic
24,159,382,391,sporadic
87,150,382,391,sporadic
17,175,380,392,sporadic
79,245,357,393,sporadic
135,177,376,394,sporadic
147,232,357,394,sporadic
54,152,387,395,sporadic
24,197,379,396,sporadic
94,149,387,396,sporadic
240,271,305,396,sporadic
38,295,337,400,sporadic
114,261,355,400,sporadic
154,251,357,402,sporadic
177,276,343,406,"B:Ramanujan(m,n)"
178,295,329,406,sporadic
32,310,335,407,sporadic
64,107,405,408,sporadic
123,197,388,408,sporadic
149,256,363,408,sporadic
180,197,379,408,sporadic
108,267,365,410,sporadic
80,219,388,411,sporadic
171,282,349,412,"B:Ramanujan(m,n)"
88,95,412,415,sporadic
18,137,412,417,sporadic
169,234,380,417,sporadic
107,292,362,419,sporadic
235,236,362,419,sporadic
144,179,405,422,sporadic
138,178,407,423,sporadic
22,320,353,425,sporadic
178,188,401,425,sporadic
149,166,411,426,sporadic
160,243,389,426,sporadic
191,290,361,428,"B:Ramanujan(m,n)"
276,303,313,430,"B:Ramanujan(m,n)"
135,188,414,431,sporadic
200,239,388,431,sporadic
213,323,334,432,sporadic
219,269,370,432,sporadic
73,123,431,435,sporadic
18,193,423,436,sporadic
104,150,429,437,sporadic
131,261,400,438,sporadic
107,306,381,440,sporadic
202,261,396,445,sporadic
215,218,409,446,sporadic
127,188,432,447,sporadic
138,239,418,447,sporadic
5,216,436,453,sporadic
26,312,397,453,sporadic
72,157,446,453,sporadic
234,260,397,453,sporadic
58,75,453,454,sporadic
69,328,387,454,sporadic
283,294,357,454,"B:Ramanujan(m,n)"
19,362,365,458,"B:Ramanujan(m,n)"
30,266,427,459,sporadic
97,333,389,459,sporadic
160,326,387,459,sporadic
123,136,453,460,sporadic
5,86,460,461,sporadic
131,212,445,464,sporadic
49,122,462,465,sporadic
142,362,369,465,sporadic
60,342,395,467,sporadic
100,242,447,471,sporadic
191,354,376,471,sporadic
97,320,415,472,sporadic
111,148,465,472,sporadic
85,353,397,475,sporadic
115,366,384,475,sporadic
89,231,456,476,sporadic
219,223,443,477,sporadic
51,82,477,478,sporadic
64,75,477,478,sporadic
47,350,406,479,sporadic
109,293,437,479,sporadic
256,311,398,479,sporadic
51,232,461,480,sporadic
139,309,428,480,sporadic
233,279,424,480,sporadic
191,332,409,482,"B:Ramanujan(m,n)"
109,170,475,484,sporadic
179,267,447,485,sporadic
54,183,478,487,sporadic
20,89,487,488,sporadic
193,276,446,489,sporadic
268,362,369,489,sporadic
75,366,410,491,sporadic
48,85,491,492,sporadic
113,264,463,492,sporadic
149,336,427,492,sporadic
190,279,449,492,sporadic
243,358,389,492,sporadic
281,322,399,492,"B:Ramanujan(m,n)"
18,349,426,493,sporadic
118,160,485,493,sporadic
260,369,375,494,sporadic
254,327,412,495,sporadic
57,82,495,496,sporadic
315,322,389,498,"B:Ramanujan(m,n)"
123,168,490,499,sporadic
42,329,447,500,sporadic
82,119,497,500,sporadic
